"project_id","project_name","cohort","organization_name","organisation_id","country","framework_key","description","status","project_status"
c462918b-47f7-4ed5-99e0-7fec6e342036,"""Nakuru Eco-Reforestation Project""",terrafund-landscapes,,1382,KE,enterprises,"MAIN ACTIVITIES
JAN  - FEB 2024- TREE NURSERY SITE IDENTIFICATION, CLEARANCE AND SET UP.
MAR- APR 2024- SOWING AND NURTURING OF SEEDS
MAY-JULY 2024- TRANSFER OF THE SEEDLINGS FROM THE SEEDBEDS TO TUBES
AUG-SEP 2024-PLANTING OF THE TREE SEEDLINGS
OCT-DEC 2024-CARE FOR THE PLANTED SEEDLINGS
JAN-FEB 2025-TREE NURSERY PREPARATION
MAR-APRIL 2025-SOWING AND NURTURING OF TREE SEEDINGS
MAY-JULY 2025-TRANSFER OF THE SEEDLINGS FROM THE SEEDBEDS TO TUBES
AUG-SEPT 2025-PLANTING OF THE TREE SEEDLINGS
OCT-DEC 2025-CARE FOR THE PLANTED SEEDLINGS
JAN 2026-DEC 2029 - CARE AND MONITORING OF THE TREES",approved,
caae56f9-0bb6-45a2-9d77-ff088b085917,"0726 project",,,6283,BR,terrafund,org 0726,approved,
c004619e-c1aa-4f7f-b56b-c8f9b4385d4e,"1",,,1582,AL,terrafund,"1",approved,existing_expansion
ff7a1237-2fe4-4d91-a284-fdf71a2bb787,"1220",ppc,,6393,AU,ppc,,approved,
"6083e1cf-a636-4c64-9253-ac86cd08f5d7","3SC Production 2.3",,,3279,AF,terrafund,"3SC Production 2.3",approved,new_project
e180f9ee-8f9f-495d-a3e0-d6ea6369f744,Acacia PPC test,,,4430,AX,ppc,,approved,
dc4d7f6a-ed16-470d-86af-44a04fffce50,Acción Andina,ppc,,6,PE,ppc,,approved,
"617601e0-9839-49fd-b48e-6c07404e7140",Afram Headwaters Restoration Initiative (AHRI),terrafund-landscapes,,1358,GH,enterprises,"1.	Site Reconnaissance – which has already begun. We know the neighborhood. We have already restored compartment numbers 67, 66, 65, and 64. Compartments numbers 69, 74, and 75 are congruent. The reconnaissance has involved taking note of the climate (temperature and rainfall distribution), soil, topography, waterflows, vegetation characteristics, and the sociology of the communities. These have guided the choice of tree species selection for the project.

2.	Community Engagement: Sakam Savana in collaboration with the community leaders and the partners — the traditional leaders, district, regional, and national agencies of the government— will engage the community in early January 2024, just before the project starts, to introduce the restoration initiative.  The core objective of the engagement is to foster deeper understanding and cooperation between Sakam Savana and the host communities. Sakam Savana will reiterate the desire to co-live for and co-govern and co-share and co-benefit from the project. Sakam Savana will invite the community to design together schemes of governance for various communal-benefit intervention schemes that engender good spirit for the community and the forest restoration.  

3.	Nursery: Nursery comes a bit early. Seed collection starts in anticipation of the future. Seeds collection and nursery preparations may have to start once announcement is made.  The active nursery commences mid January.

4.	Preparation of the planting site: Site preparation will start in January 2024 to usher the community members’ labour to enable them gain income. Site preparation means removing competing vegetation from the site and creating conditions that will enable the soil to catch and absorb as much rainfall as possible. Site preparation includes an application of organic manure. Manure application assists the seedlings for rapid growth and supports the farmers who will be offered land to get better yield.

5.	Fire belt: Fire-ride will be constructed in 14 days from March 1, 2024 – March 14, 2024

6.	Planting of seedlings processes. Planting starts around mid May 2024, when the rains start, for six weeks ending on June15, 2024.
7.	Plantation Management and maintenance:
i.	First weeding and tendering commences Sep.1, 2024 – Sep. 30, 2024
ii.	Second weeding and tendering commences on Nov. 1, 2024 – Nov. 30, 2024
iii.	Community engagement: About Dec. 17, the official of Sakam Savana will call for community engagement. An expert of sustainability and economic resilient will be invited to broach conversation regarding planting fruit-bearing trees to adapt to alternative livelihoods.
iv.	Fire-watch begins in and around Dec. 20, 2024 – Mar. 15, 2025.  

8.	Periodic M&E and Reporting: In every March, June, September, and December, of 2024 to 2029, and extensive monitoring and evaluation activities will be conducted.  In January and July, a report that explains progress and challenges and solutions/way forward (mitigation and adaptation for the project’s success) will be sent to TerraMatch.

9.	First weed control:
i.	First weeding and tendering commences March.15, 2025 – Apr. 30, 2024
ii.	Second weeding and tendering commences on Jul. 1, 2025 – Aug. 30, 2025

10.	Beating up: Budgeted for 20% mortality of the first planting. From Jul 15, 2025 – Aug 31, 2025

11.	Fire Prevention Plan: Preparing towards fire-watch and prevention (with the communities) towards ensuing drought beginning December 20, 2025, and enters through to March 15, 2026.

12.	Weed control:
i.	First weeding and tendering commences March.15, 2026 – Apr. 30, 2026
ii.	Intensive Pruning maybe required. Pruning starts on Jul. 15, 2026 – Aug. 31, 2026
iii.	Second weeding and tendering commences on Jul. 1, 2026 – Aug. 30, 2026

13.	Pruning and thinning and tendering: The years 2027, 2028, and 2029 are for tree management particularly. We will prune and thin mostly. We will pay practical attention to regeneration.
14.	Fire Prevention activities will continue during every Harmattan beyond the TerraFund Project closure date.
 
15.	Alternative Livelihood Interventions: These are intensified from 2027. Though Sakam Savana focuses on bringing “horticulture”, which is incorporated in the fire prevention scheme, alternative schemes such as bee keeping and animal rearing under the trees, would consist as a distinct approach to involve the community’s participation in forestry conservation to mitigate climate catastrophe and fostering effective adaptation.",approved,
a296d246-7545-4c8d-8781-49876ec03ba9,Afrex Gold Working Capital,,,1237,KE,enterprises,"May 2024 to August 2024: Avocado by Sea consignments processing during main season: working capital will go towards Fruit purchase/farmer payments, Freight, Packaging purchase, Labour costs and Packing line utility costs.
October 2024 to February 2025: Mango by Sea consignments processing during main Mango season. Off-season avocado processing and assorted vegetables and herbs consignment processing by Air.
Working capital will go towards raw material/farmer payments, Freight, Packaging purchase, Labour costs and Packing line utility costs.
March 2025 to August 2025: Avocado by Sea consignments processing during main season: working capital will go towards Fruit purchase/farmer payments, Freight, Packaging purchase, Labour costs and Packing line utility costs.",approved,
"9c7ae695-30e3-4629-953b-7c0f894172c3",Africorp International Prosperity Project,terrafund,,586,SD,enterprises,"4 years",approved,new_project
